description,image,link,words,lemmatized_words,filtered_lemmatized_words,features,cluster
Paper Boat Swing Zesty Pomegranate Juice Enriched with Vitamin D No Gmos 600 ml,https://m.media-amazon.com/images/I/61kpiXhTgcL._AC_UL320_.jpg,https://www.amazon.in/Paper-Boat-Pomegranate-Enriched-Vitamin/dp/B094KC4S54/ref=sr_1_124?qid=1679216335&s=grocery&sr=1-124,"['Paper', 'Boat', 'Swing', 'Zesty', 'Pomegranate', 'Juice', 'Enriched', 'with', 'Vitamin', 'D', 'No', 'Gmos', '600', 'ml']","['Paper', 'Boat', 'Swing', 'Zesty', 'Pomegranate', 'Juice', 'Enriched', 'with', 'Vitamin', 'D', 'No', 'Gmos', '600', 'ml']","['Paper', 'Boat', 'Swing', 'Zesty', 'Pomegranate', 'Juice', 'Enriched', 'Vitamin', 'Gmos', '600', 'ml']","[10, 2, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 2, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 5, 0, 2, 1, 6, 0, 2, 1, 5, 0, 0, 1, 4, 4, 3, 1, 0, 3, 2, 4, 1, 0, 1, 0, 1, 0]",4
Coca Cola Zero Sugar IMPORTED 330ml pack of 24,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/51S-E8x2QrS._AC_UL320_.jpg,https://www.amazon.in/Coca-Cola-Zero-Sugar-330ml/dp/B092ZGG8NN/ref=sr_1_4014?qid=1679216404&s=grocery&sr=1-4014,"['Coca', 'Cola', 'Zero', 'Sugar', 'IMPORTED', '330ml', 'pack', 'of', '24']","['Coca', 'Cola', 'Zero', 'Sugar', 'IMPORTED', '330ml', 'pack', 'of', '24']","['Coca', 'Cola', 'Zero', 'Sugar', 'IMPORTED', '330ml', 'pack', '24']","[7, 1, 0, 1, 2, 1, 0, 0, 0, 0, 0, 0, 0, 2, 1, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 4, 0, 2, 0, 1, 0, 1, 0, 0, 0, 1, 2, 1, 0, 3, 1, 0, 2, 0, 0, 1, 0, 0, 0, 0, 0]",3
TopQualiTea Golden Orange Pekoe Darjeeling Leaf Tea Pack of 2 250gm Each,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61LgXUqL92L._AC_UL320_.jpg,https://www.amazon.in/TopQualiTea-Darjeeling-Anti-oxidants-Healthier-Lifestyle/dp/B08BWRJWN2/ref=sr_1_2907?qid=1679216385&s=grocery&sr=1-2907,"['TopQualiTea', 'Golden', 'Orange', 'Pekoe', 'Darjeeling', 'Leaf', 'Tea', 'Pack', 'of', '2', '250gm', 'Each']","['TopQualiTea', 'Golden', 'Orange', 'Pekoe', 'Darjeeling', 'Leaf', 'Tea', 'Pack', 'of', '2', '250gm', 'Each']","['TopQualiTea', 'Golden', 'Orange', 'Pekoe', 'Darjeeling', 'Leaf', 'Tea', 'Pack', '2', '250gm']","[9, 1, 0, 2, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 2, 1, 0, 0, 3, 0, 0, 0, 0, 0, 0, 7, 0, 1, 1, 9, 1, 3, 0, 2, 1, 2, 3, 1, 3, 3, 1, 0, 2, 0, 0, 1, 0, 0, 0, 0, 0]",9
Urban Platter Kadak Bombay Masala Chai 500g Aromatic Blend of Black CTC Tea infused with Spices like Ginger Cardamom S,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/716UOoTfrUL._AC_UL320_.jpg,https://www.amazon.in/Urban-Platter-Kadak-Masala-Chai/dp/B0774MTHRH/ref=sr_1_1732?qid=1679216366&s=grocery&sr=1-1732,"['Urban', 'Platter', 'Kadak', 'Bombay', 'Masala', 'Chai', '500g', 'Aromatic', 'Blend', 'of', 'Black', 'CTC', 'Tea', 'infused', 'with', 'Spices', 'like', 'Ginger', 'Cardamom', 'S']","['Urban', 'Platter', 'Kadak', 'Bombay', 'Masala', 'Chai', '500g', 'Aromatic', 'Blend', 'of', 'Black', 'CTC', 'Tea', 'infused', 'with', 'Spices', 'like', 'Ginger', 'Cardamom', 'S']","['Urban', 'Platter', 'Kadak', 'Bombay', 'Masala', 'Chai', '500g', 'Aromatic', 'Blend', 'Black', 'CTC', 'Tea', 'infused', 'Spices', 'like', 'Ginger', 'Cardamom']","[16, 2, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 3, 4, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 1, 2, 1, 0, 0, 0, 0, 0, 14, 2, 3, 4, 7, 1, 2, 1, 6, 0, 3, 5, 4, 4, 3, 1, 0, 5, 3, 3, 1, 0, 0, 0, 1, 0]",5
Leivsta Filter coffee 6040500 gm pouch,https://m.media-amazon.com/images/I/71-0GR7tvwL._AC_UL320_.jpg,https://www.amazon.in/Leivsta-Filter-coffee-60-pouch/dp/B09XMN6R54/ref=sr_1_1135?qid=1679216352&s=grocery&sr=1-1135,"['Leivsta', 'Filter', 'coffee', '6040500', 'gm', 'pouch']","['Leivsta', 'Filter', 'coffee', '6040500', 'gm', 'pouch']","['Leivsta', 'Filter', 'coffee', '6040500', 'gm', 'pouch']","[5, 4, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 2, 0, 4, 2, 1, 1, 2, 0, 0, 1, 1, 0, 2, 1, 0, 1, 1, 2, 1, 1, 0, 0, 0, 0]",3
Organic India Tulsi Ginger Tulsi Mulethi  Green Tea Classic Combo Pack  25 Tea Bag Each,https://m.media-amazon.com/images/I/61EmHHW15AL._AC_UL320_.jpg,https://www.amazon.in/Organic-India-Ginger-Mulethi-Classic/dp/B07Q83CD6P/ref=sr_1_3073?qid=1679216388&s=grocery&sr=1-3073,"['Organic', 'India', 'Tulsi', 'Ginger', 'Tulsi', 'Mulethi', 'Green', 'Tea', 'Classic', 'Combo', 'Pack', '25', 'Tea', 'Bag', 'Each']","['Organic', 'India', 'Tulsi', 'Ginger', 'Tulsi', 'Mulethi', 'Green', 'Tea', 'Classic', 'Combo', 'Pack', '25', 'Tea', 'Bag', 'Each']","['Organic', 'India', 'Tulsi', 'Ginger', 'Tulsi', 'Mulethi', 'Green', 'Tea', 'Classic', 'Combo', 'Pack', '25', 'Tea', 'Bag']","[13, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 2, 0, 1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 7, 1, 3, 1, 6, 0, 3, 1, 7, 0, 1, 4, 1, 4, 2, 0, 0, 3, 4, 1, 3, 0, 0, 0, 0, 0]",7
Girnar Instant Premix Chai  Variety Pack 36 Sachets,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/61bLqr0uNsL._AC_UL320_.jpg,https://www.amazon.in/Girnar-Instant-Premix-Variety-Sachets/dp/B00LC1F3M6/ref=sr_1_220?qid=1679216338&s=grocery&sr=1-220,"['Girnar', 'Instant', 'Premix', 'Chai', 'Variety', 'Pack', '36', 'Sachets']","['Girnar', 'Instant', 'Premix', 'Chai', 'Variety', 'Pack', '36', 'Sachets']","['Girnar', 'Instant', 'Premix', 'Chai', 'Variety', 'Pack', '36', 'Sachets']","[7, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 2, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 6, 0, 2, 0, 3, 0, 0, 2, 4, 0, 1, 0, 1, 3, 0, 0, 0, 4, 2, 4, 0, 0, 0, 1, 1, 0]",0
Nescaf Latte Mocha 465g  15 Sticks,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/61OW2dD5LiL._AC_UL320_.jpg,https://www.amazon.in/Nescaf%C3%A9-Latte-Mocha-465g-Sticks/dp/B072V2BNYY/ref=sr_1_7182?qid=1679216462&s=grocery&sr=1-7182,"['Nescaf', 'Latte', 'Mocha', '465g', '15', 'Sticks']","['Nescaf', 'Latte', 'Mocha', '465g', '15', 'Sticks']","['Nescaf', 'Latte', 'Mocha', '465g', '15', 'Sticks']","[5, 0, 1, 0, 0, 1, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 3, 0, 3, 0, 2, 1, 1, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 2, 3, 0, 0, 0, 0, 0, 0]",3
Malas Fruit Crush Kiwi 750ml Green Medium,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71KZIEElafL._AC_UL320_.jpg,https://www.amazon.in/Malas-Fruit-Crush-Kiwi-750ml/dp/B08CGLPM6J/ref=sr_1_1498?qid=1679216360&s=grocery&sr=1-1498,"['Malas', 'Fruit', 'Crush', 'Kiwi', '750ml', 'Green', 'Medium']","['Malas', 'Fruit', 'Crush', 'Kiwi', '750ml', 'Green', 'Medium']","['Malas', 'Fruit', 'Crush', 'Kiwi', '750ml', 'Green', 'Medium']","[6, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 1, 3, 0, 0, 1, 4, 0, 0, 2, 2, 1, 0, 0, 0, 3, 2, 1, 3, 0, 1, 0, 0, 0]",3
Real Fruit Juice Litchi 200ml x 30,https://m.media-amazon.com/images/I/713INWmngcL._AC_UL320_.jpg,https://www.amazon.in/Real-Fruit-Juice-Litchi-200ml/dp/B07S9Y2NQ5/ref=sr_1_6658?qid=1679216450&s=grocery&sr=1-6658,"['Real', 'Fruit', 'Juice', 'Litchi', '200ml', 'x', '30']","['Real', 'Fruit', 'Juice', 'Litchi', '200ml', 'x', '30']","['Real', 'Fruit', 'Juice', 'Litchi', '200ml', 'x', '30']","[6, 3, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 2, 0, 2, 0, 0, 1, 4, 0, 0, 2, 1, 0, 0, 0, 0, 1, 0, 2, 2, 0, 0, 1, 0, 0]",3
GluconD ImmunoVolt Glucose Energy Bites Orange  20 Tube Packs in a Jar 360gm,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/71d6AZpsoLL._AC_UL320_.jpg,https://www.amazon.in/Glucon-D-ImmunoVolt-Glucose-Energy-Orange/dp/B08JCP57ZB/ref=sr_1_2208?qid=1679216372&s=grocery&sr=1-2208,"['GluconD', 'ImmunoVolt', 'Glucose', 'Energy', 'Bites', 'Orange', '20', 'Tube', 'Packs', 'in', 'a', 'Jar', '360gm']","['GluconD', 'ImmunoVolt', 'Glucose', 'Energy', 'Bites', 'Orange', '20', 'Tube', 'Packs', 'in', 'a', 'Jar', '360gm']","['GluconD', 'ImmunoVolt', 'Glucose', 'Energy', 'Bites', 'Orange', '20', 'Tube', 'Packs', 'Jar', '360gm']","[10, 2, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 0, 2, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 3, 1, 3, 0, 5, 0, 3, 0, 1, 0, 1, 3, 3, 4, 4, 0, 0, 3, 3, 2, 4, 0, 0, 0, 1, 0]",4
Kombucha Top Combo for Cocktails pack of 6  Lemon Ginger Mint Hibiscus Lime Lavender with Blue Tea,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/71lNkBNKViL._AC_UL320_.jpg,https://www.amazon.in/Kombucha-Top-Combo-Cocktails-pack/dp/B0BJTHQ16L/ref=sr_1_1745?qid=1679216366&s=grocery&sr=1-1745,"['Kombucha', 'Top', 'Combo', 'for', 'Cocktails', 'pack', 'of', '6', 'Lemon', 'Ginger', 'Mint', 'Hibiscus', 'Lime', 'Lavender', 'with', 'Blue', 'Tea']","['Kombucha', 'Top', 'Combo', 'for', 'Cocktails', 'pack', 'of', '6', 'Lemon', 'Ginger', 'Mint', 'Hibiscus', 'Lime', 'Lavender', 'with', 'Blue', 'Tea']","['Kombucha', 'Top', 'Combo', 'Cocktails', 'pack', '6', 'Lemon', 'Ginger', 'Mint', 'Hibiscus', 'Lime', 'Lavender', 'Blue', 'Tea']","[13, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 2, 0, 0, 0, 1, 1, 0, 0, 1, 3, 1, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 5, 3, 4, 1, 7, 0, 1, 1, 6, 0, 2, 2, 4, 4, 6, 2, 0, 2, 3, 2, 3, 1, 0, 0, 0, 0]",4
Healthy Leaf  Dry Stevia Leaf Madhu Tulsi Herbal Stevia Sugar  Natural SugarFree Sweetener 50 gm 2,https://m.media-amazon.com/images/I/8158KK1zJ+L._AC_UL320_.jpg,https://www.amazon.in/Healthy-Stevia-Madhu-Tulsi-Herbal/dp/B089WKJ65Y/ref=sr_1_9474?qid=1679216500&s=grocery&sr=1-9474,"['Healthy', 'Leaf', 'Dry', 'Stevia', 'Leaf', 'Madhu', 'Tulsi', 'Herbal', 'Stevia', 'Sugar', 'Natural', 'SugarFree', 'Sweetener', '50', 'gm', '2']","['Healthy', 'Leaf', 'Dry', 'Stevia', 'Leaf', 'Madhu', 'Tulsi', 'Herbal', 'Stevia', 'Sugar', 'Natural', 'SugarFree', 'Sweetener', '50', 'gm', '2']","['Healthy', 'Leaf', 'Dry', 'Stevia', 'Leaf', 'Madhu', 'Tulsi', 'Herbal', 'Stevia', 'Sugar', 'Natural', 'SugarFree', 'Sweetener', '50', 'gm', '2']","[15, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 2, 0, 0, 0, 2, 1, 1, 0, 0, 0, 0, 5, 1, 0, 0, 0, 0, 0, 0, 11, 1, 0, 1, 12, 2, 3, 2, 3, 0, 0, 4, 1, 1, 0, 0, 0, 7, 1, 5, 5, 2, 1, 0, 2, 0]",2
Best Assam TeaGolaghat Supreme Tea 250 gram,https://m.media-amazon.com/images/I/819TZbH+RrL._AC_UL320_.jpg,https://www.amazon.in/Best-Assam-Golaghat-Supreme-Gram/dp/B07WRQNHB8/ref=sr_1_5870?qid=1679216435&s=grocery&sr=1-5870,"['Best', 'Assam', 'TeaGolaghat', 'Supreme', 'Tea', '250', 'gram']","['Best', 'Assam', 'TeaGolaghat', 'Supreme', 'Tea', '250', 'gram']","['Best', 'Assam', 'TeaGolaghat', 'Supreme', 'Tea', '250', 'gram']","[6, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 5, 0, 2, 1, 0, 0, 0, 1, 3, 0, 1, 1, 0, 2, 3, 2, 1, 0, 0, 0, 0, 0]",0
Country Bean Instant Coffee Powder  Hazelnut Flavoured Coffee 50 G,https://m.media-amazon.com/images/I/51gCB9nXU0L._AC_UL320_.jpg,https://www.amazon.in/Country-Bean-Instant-Hazelnut-Flavoured/dp/B07C62CJZF/ref=sr_1_355?qid=1679216340&s=grocery&sr=1-355,"['Country', 'Bean', 'Instant', 'Coffee', 'Powder', 'Hazelnut', 'Flavoured', 'Coffee', '50', 'G']","['Country', 'Bean', 'Instant', 'Coffee', 'Powder', 'Hazelnut', 'Flavoured', 'Coffee', '50', 'G']","['Country', 'Bean', 'Instant', 'Coffee', 'Powder', 'Hazelnut', 'Flavoured', 'Coffee', '50', 'G']","[9, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 3, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 2, 8, 4, 0, 0, 0, 0, 0, 2, 0, 5, 5, 0, 0, 3, 1, 4, 3, 1, 1, 0, 1, 1]",9
Mapro Black Currant Crush 750ml,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/51sgDbClOwL._AC_UL320_.jpg,https://www.amazon.in/Mapro-Black-Currant-Crush-750ml/dp/B00UTIDVCM/ref=sr_1_2486?qid=1679216378&s=grocery&sr=1-2486,"['Mapro', 'Black', 'Currant', 'Crush', '750ml']","['Mapro', 'Black', 'Currant', 'Crush', '750ml']","['Mapro', 'Black', 'Currant', 'Crush', '750ml']","[4, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 2, 1, 1, 1, 1, 0, 4, 1, 1, 2, 0, 0, 0, 0, 0]",3
deeP foresT Organic Soursop leaves  Graviola Green tea Leaves  Lakshman Phal  Mullu Seetha  Ram Phal  100  Nos  200G,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/513ThBkvMgL._AC_UL320_.jpg,https://www.amazon.in/SM-Vegetables-Organic-Soursop-Graviola/dp/B08R3K281G/ref=sr_1_8379?qid=1679216480&s=grocery&sr=1-8379,"['deeP', 'foresT', 'Organic', 'Soursop', 'leaves', 'Graviola', 'Green', 'tea', 'Leaves', 'Lakshman', 'Phal', 'Mullu', 'Seetha', 'Ram', 'Phal', '100', 'Nos', '200G']","['deeP', 'foresT', 'Organic', 'Soursop', 'leaf', 'Graviola', 'Green', 'tea', 'Leaves', 'Lakshman', 'Phal', 'Mullu', 'Seetha', 'Ram', 'Phal', '100', 'Nos', '200G']","['deeP', 'foresT', 'Organic', 'Soursop', 'leaf', 'Graviola', 'Green', 'tea', 'Leaves', 'Lakshman', 'Phal', 'Mullu', 'Seetha', 'Ram', 'Phal', '100', 'Nos', '200G']","[17, 4, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 2, 1, 1, 1, 3, 0, 1, 2, 1, 0, 0, 0, 0, 0, 0, 12, 0, 1, 1, 11, 2, 1, 4, 2, 0, 1, 6, 2, 3, 5, 1, 0, 5, 5, 2, 3, 2, 0, 0, 0, 0]",5
Bournvita Health Drink 500 g  Bournvita Health Drink 500 g,https://m.media-amazon.com/images/I/71KSx1U1pkL._AC_UL320_.jpg,https://www.amazon.in/Bournvita-Health-Drink-500/dp/B09DPSCDQD/ref=sr_1_7340_f3_0g_fs?qid=1679216467&s=grocery&sr=1-7340,"['Bournvita', 'Health', 'Drink', '500', 'g', 'Bournvita', 'Health', 'Drink', '500', 'g']","['Bournvita', 'Health', 'Drink', '500', 'g', 'Bournvita', 'Health', 'Drink', '500', 'g']","['Bournvita', 'Health', 'Drink', '500', 'g', 'Bournvita', 'Health', 'Drink', '500', 'g']","[9, 4, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 2, 0, 2, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 2, 0, 2, 2, 4, 0, 2, 2, 0, 4, 2, 0, 0, 4, 0, 4, 2, 2, 0, 0, 0, 0]",0
BLUE TEA  Chamomile Rose Tea  Premium 18 Tea Bag  RELAX TEA  Relieving Anxiety and Calming Tea  Nourishing Hydrati,https://m.media-amazon.com/images/I/61U0fr6Z16L._AC_UL320_.jpg,https://www.amazon.in/BLUE-TEA-Chamomile-Premium-Caffeine/dp/B09FXFLYG8/ref=sr_1_5993?qid=1679216439&s=grocery&sr=1-5993,"['BLUE', 'TEA', 'Chamomile', 'Rose', 'Tea', 'Premium', '18', 'Tea', 'Bag', 'RELAX', 'TEA', 'Relieving', 'Anxiety', 'and', 'Calming', 'Tea', 'Nourishing', 'Hydrati']","['BLUE', 'TEA', 'Chamomile', 'Rose', 'Tea', 'Premium', '18', 'Tea', 'Bag', 'RELAX', 'TEA', 'Relieving', 'Anxiety', 'and', 'Calming', 'Tea', 'Nourishing', 'Hydrati']","['BLUE', 'TEA', 'Chamomile', 'Rose', 'Tea', 'Premium', '18', 'Tea', 'Bag', 'RELAX', 'TEA', 'Relieving', 'Anxiety', 'Calming', 'Tea', 'Nourishing', 'Hydrati']","[16, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 4, 2, 2, 0, 4, 0, 0, 1, 0, 0, 0, 2, 0, 1, 0, 1, 0, 3, 0, 5, 1, 0, 0, 1, 0, 0, 7, 0, 0, 1, 9, 0, 4, 2, 9, 0, 0, 3, 5, 4, 3, 0, 0, 3, 2, 2, 2, 1, 0, 1, 2, 0]",5
Sri Sri Tattva Herbal Tea 100g Pack of 2,https://m.media-amazon.com/images/I/615J3Fz8YFL._AC_UL320_.jpg,https://www.amazon.in/Sri-Tattva-Herbal-100g-Pack/dp/B07NLV3NS5/ref=sr_1_1557?qid=1679216362&s=grocery&sr=1-1557,"['Sri', 'Sri', 'Tattva', 'Herbal', 'Tea', '100g', 'Pack', 'of', '2']","['Sri', 'Sri', 'Tattva', 'Herbal', 'Tea', '100g', 'Pack', 'of', '2']","['Sri', 'Sri', 'Tattva', 'Herbal', 'Tea', '100g', 'Pack', '2']","[7, 2, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 2, 2, 0, 0, 0, 0, 0, 0, 5, 1, 1, 0, 2, 0, 1, 0, 2, 0, 1, 1, 0, 0, 0, 0, 0, 3, 0, 2, 0, 1, 0, 0, 0, 0]",0
Kanz  Muhul Kashmiri Kahwa Leaves 200 Grm Rich in AntiOxidants  Detox Green Tea  Helps improve Digestion Immunity,https://m.media-amazon.com/images/I/41e6Laskl8L._AC_UL320_.jpg,https://www.amazon.in/KANZ-MUHUL-Kehwa-Leaves-200GM/dp/B08DT3RQLS/ref=sr_1_6409?qid=1679216447&s=grocery&sr=1-6409,"['Kanz', 'Muhul', 'Kashmiri', 'Kahwa', 'Leaves', '200', 'Grm', 'Rich', 'in', 'AntiOxidants', 'Detox', 'Green', 'Tea', 'Helps', 'improve', 'Digestion', 'Immunity']","['Kanz', 'Muhul', 'Kashmiri', 'Kahwa', 'Leaves', '200', 'Grm', 'Rich', 'in', 'AntiOxidants', 'Detox', 'Green', 'Tea', 'Helps', 'improve', 'Digestion', 'Immunity']","['Kanz', 'Muhul', 'Kashmiri', 'Kahwa', 'Leaves', '200', 'Grm', 'Rich', 'AntiOxidants', 'Detox', 'Green', 'Tea', 'Helps', 'improve', 'Digestion', 'Immunity']","[15, 2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 2, 0, 0, 2, 1, 1, 0, 3, 1, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 7, 0, 1, 1, 9, 0, 1, 4, 9, 0, 0, 2, 5, 6, 3, 2, 0, 4, 5, 5, 3, 2, 1, 2, 1, 1]",8
Raw Pressery Coconut Water 200 ml Pack of 6,https://m.media-amazon.com/images/I/51E37DBNTyL._AC_UL320_.jpg,https://www.amazon.in/Raw-Pressery-Natural-Coconut-Bottle/dp/B08DJP4PH5/ref=sr_1_345_f3_0g_fs?qid=1679216340&s=grocery&sr=1-345,"['Raw', 'Pressery', 'Coconut', 'Water', '200', 'ml', 'Pack', 'of', '6']","['Raw', 'Pressery', 'Coconut', 'Water', '200', 'ml', 'Pack', 'of', '6']","['Raw', 'Pressery', 'Coconut', 'Water', '200', 'ml', 'Pack', '6']","[7, 2, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 3, 0, 2, 0, 3, 0, 0, 0, 0, 0, 1, 1, 1, 1, 2, 0, 0, 3, 2, 2, 1, 0, 1, 0, 1, 0]",3
SHREEJI Elaichi Kesar Syrup Mix with Milk PET Bottle 500 ml,https://m.media-amazon.com/images/I/51WKTWGK-GL._AC_UL320_.jpg,https://www.amazon.in/SHREEJI-Elaichi-Kesar-Syrup-Bottle/dp/B08F41WMBQ/ref=sr_1_3984?qid=1679216401&s=grocery&sr=1-3984,"['SHREEJI', 'Elaichi', 'Kesar', 'Syrup', 'Mix', 'with', 'Milk', 'PET', 'Bottle', '500', 'ml']","['SHREEJI', 'Elaichi', 'Kesar', 'Syrup', 'Mix', 'with', 'Milk', 'PET', 'Bottle', '500', 'ml']","['SHREEJI', 'Elaichi', 'Kesar', 'Syrup', 'Mix', 'Milk', 'PET', 'Bottle', '500', 'ml']","[9, 2, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 4, 0, 0, 1, 1, 1, 1, 0, 2, 0, 0, 1, 0, 1, 2, 1, 0, 0, 0, 0, 0, 0, 2, 0, 1, 0, 2, 0, 0, 1, 4, 0, 1, 4, 1, 0, 1, 1, 0, 2, 1, 2, 1, 0, 0, 1, 1, 0]",0
CHAMRAJ Masala Chai 250 g  Pack of 2  Total 500 g  Finest Nilgiri Tea,https://m.media-amazon.com/images/I/81D6E7yYZfL._AC_UL320_.jpg,https://www.amazon.in/CHAMRAJ-Masala-Total-Finest-Nilgiri/dp/B0BB162JH8/ref=sr_1_6733?qid=1679216452&s=grocery&sr=1-6733,"['CHAMRAJ', 'Masala', 'Chai', '250', 'g', 'Pack', 'of', '2', 'Total', '500', 'g', 'Finest', 'Nilgiri', 'Tea']","['CHAMRAJ', 'Masala', 'Chai', '250', 'g', 'Pack', 'of', '2', 'Total', '500', 'g', 'Finest', 'Nilgiri', 'Tea']","['CHAMRAJ', 'Masala', 'Chai', '250', 'g', 'Pack', '2', 'Total', '500', 'g', 'Finest', 'Nilgiri', 'Tea']","[12, 3, 0, 2, 0, 0, 2, 0, 0, 0, 0, 2, 0, 2, 0, 0, 1, 0, 1, 0, 1, 0, 0, 2, 1, 0, 1, 0, 1, 0, 2, 0, 0, 0, 0, 0, 0, 7, 0, 1, 0, 2, 0, 3, 1, 5, 0, 1, 3, 0, 1, 1, 0, 0, 1, 2, 2, 0, 0, 0, 0, 0, 0]",0
